NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
60,3.4595,-19.126,-20.067,-16.952,-12.064,-21.341,-20.042,-20.082,7.3278,9.7758,-41.518,10.922,-22.164,-21.334,-3.3786,-16.845
61,-1.0523,-8.7858,-10.374,-7.3559,-2.6504,-11.092,-7.9585,-9.2859,-6.6693,-5.6836,-18.961,-4.111,4.3397,3.2851,-7.7043,6.603
62,6.8165,-21.688,-17.125,-19.767,-15.019,-18.905,-17.071,-16.283,-3.3307,0.83028,-20.082,3.8511,-0.46094,-3.5554,-0.26803,-1.9526
63,0.087719,-1.0943,-3.8013,-1.1088,-2.426,1.4274,-1.2115,-2.3997,-6.4423,-0.35687,-18.861,3.8708,-4.9487,-9.2052,-7.8782,-9.2105
64,1.9644,-0.9729,-0.80945,-2.0454,-5.2258,3.4304,1.835,1.429,-6.8488,-2.3909,4.2259,2.5013,6.0356,4.4467,-2.6956,3.1295
65,-6.3947,23.444,21.414,25.649,22.705,26.681,22.149,26.126,-9.0736,-0.8249,30.163,0.28546,13.924,9.1517,1.0539,8.8068
66,-4.2925,10.829,14.191,14.428,12.009,13.149,16.89,18.331,-7.0026,-6.945,39.112,-8.8796,18.752,14.926,3.1623,14.391
67,5.7044,-9.2495,-6.8253,-6.9222,-11.313,-7.1768,-2.2631,-6.7034,2.6225,6.6077,8.7468,5.8021,-7.3803,-9.2682,-2.4617,-9.4116
68,1.2935,4.9842,2.5679,5.5032,0.19645,4.4609,7.1534,-0.053265,0.24005,9.0353,-1.1293,7.3218,-8.179,-9.7979,-13.049,-12.549
69,-5.0661,18.948,16.787,17.212,14.879,15.78,15.104,12.203,-5.0464,-0.089362,5.6988,-3.3854,7.2043,6.7101,-11.699,4.1392
70,4.8128,-15.328,-12.361,-15.005,-9.593,-15.009,-16.345,-15.252,1.9433,-3.7539,-24.129,3.882,-12.915,-9.7395,-2.9868,-5.5519
71,-0.062153,-0.56833,-2.7017,-1.1436,3.2694,-2.7087,-4.5898,-4.9347,0.81322,-0.58288,-15.49,9.5803,-1.5507,0.68471,0.3454,-5.1153
72,-4.9528,5.0342,2.5631,2.059,5.4758,-0.17837,-1.3812,3.306,-2.5794,-6.8298,1.3166,-1.5281,13.264,14.822,5.4881,13.455
73,-11.48,15.91,7.2395,7.7726,10.418,10.036,6.8274,9.0721,-1.0173,-5.4856,6.502,-5.3313,11.206,14.211,11.193,18.695
74,-6.3071,-1.133,-4.9261,-7.4758,-5.2666,-1.5729,-1.5646,-1.8251,-2.2845,-10.175,7.7213,-12.075,3.1341,5.1203,11.811,7.8362
75,5.4335,-12.373,-12.307,-16.084,-16.892,-10.535,-12.223,-16.258,8.3809,3.6483,-7.4375,5.9242,-19.54,-19.533,3.4471,-19.555
76,2.9204,3.9621,1.192,0.57579,-2.1707,6.7821,1.0237,-1.3725,5.2126,2.8668,5.0611,2.9647,-12.633,-13.597,-10.318,-14.902
77,-2.7743,7.3326,7.8514,6.7145,5.1669,12.421,8.7709,12.096,5.9078,1.3847,27.75,-0.82715,8.0217,6.936,-3.124,8.6023
78,-2.4349,5.8325,7.3152,5.7695,4.1202,7.0183,5.976,9.5845,8.5757,-0.6621,16.693,-5.2428,5.0766,4.3933,4.6781,7.2931
79,3.4512,6.396,9.9365,10.176,7.6163,3.978,7.1121,2.4387,13.561,13.065,1.0465,7.0324,-0.087894,1.4339,9.2669,0.76925
80,8.3864,-4.4522,1.5118,1.3132,0.14726,-2.3757,1.2036,-5.5634,9.7894,10.189,-6.6909,3.472,-3.3404,0.54138,8.113,5.7249
81,6.6096,8.4676,7.9059,9.1356,7.9697,11.606,13.047,7.0497,9.0091,11.682,-5.6209,9.5674,2.4452,2.5739,10.884,4.8517
82,4.8398,0.69501,2.9477,-0.2553,1.6116,2.8508,10.357,10.361,2.4343,0.51878,4.2133,-1.1481,18.843,15.422,10.824,9.1008
83,12.341,-9.164,-6.4444,-11.351,-7.6326,-11.549,-4.0981,0.15131,9.9249,11.234,-15.1,13.042,2.8656,1.8065,18.608,-1.6895
84,5.0517,13.559,9.0842,11.244,9.6268,8.3067,10.114,13.03,3.1715,4.9874,-9.9022,6.39,8.2777,9.3915,13.591,-4.6101
85,5.1185,13.588,9.063,11.217,9.6413,8.3729,10.034,13.029,3.1936,5.0136,-9.917,6.3358,8.2899,9.3598,13.669,-4.6101
86,-0.65218,11.454,13.435,13.252,8.2039,8.4922,6.3827,14.296,-1.0244,-2.7541,9.8215,-0.48531,20.55,20.376,12.126,11.791
87,0.97516,-7.6446,-1.7983,-5.8442,-11.603,-7.4416,-12.192,-5.9126,-0.74394,-8.0274,-5.7286,-3.5095,-7.2988,-7.8635,-2.5681,-2.4656
88,2.8848,-1.8408,-0.88019,-4.3946,-9.8965,-1.3885,-6.9825,-10.336,1.974,-0.20534,-11.175,6.0559,-20.423,-21.341,-12.6,-17.804
89,-3.329,7.1023,7.1772,2.7546,-0.41136,6.0906,2.6987,0.60581,-3.4614,-8.8193,12.968,-9.615,-5.5229,-7.2977,-21.651,-5.3801
90,5.0922,13.557,9.1098,11.187,9.6425,8.3226,10.032,13.008,3.1267,5.0136,-9.952,6.3819,8.3245,9.4156,13.634,-4.6101
91,-0.64295,11.474,13.454,13.184,8.1454,8.4934,6.4042,14.267,-1.0027,-2.7322,9.8141,-0.44286,20.624,20.397,12.11,11.791
