NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
61,3.5124,23.268,18.545,22.229,20.457,21.103,9.6233,5.1191,-0.63095,4.585,6.0437,0.032102,1.9146,4.7539,-6.076,7.3326
62,-2.4971,31.915,30.432,32.03,29.081,33.212,30.226,17.688,7.743,0.0055341,26.448,-1.3676,23.418,26.755,14.713,24.719
63,0.29061,7.5185,11.062,7.7539,6.654,6.8555,15.826,8.9465,8.3522,-8.854,14.102,-5.6582,10.252,13.81,12.919,13.739
64,5.8069,-1.6089,-3.5113,-1.2707,-2.4206,-7.4177,4.772,-4.21,8.5747,4.1196,-7.7812,9.3858,-12.199,-8.3923,4.1924,-8.6086
65,-17.601,4.0449,8.8215,10.525,7.5941,6.5342,13.539,5.4281,-1.4905,-18.71,7.4095,-13.796,9.6466,9.9152,-5.3037,14.164
66,-6.6562,-19.985,-10.364,-12.479,-13.247,-17.17,-8.4823,-11.124,-4.5708,-9.7779,-15.454,-4.6844,-14.122,-13.546,0.90767,-8.5956
67,-4.8321,-13.205,-11.127,-9.3534,-3.264,-10.181,-7.6132,-4.8962,-16.808,-9.8893,-7.1929,-9.5753,-3.1083,-1.2093,-4.9566,-2.7013
68,3.4094,-18.926,-18.337,-22.717,-17.091,-19.371,-18.404,-8.6691,-4.6852,-2.4745,-15.984,-0.21495,-10.011,-9.5809,4.0794,-7.1385
69,0.85599,-14.012,-20.272,-19.056,-15.524,-15.816,-20.151,-13,-1.2319,-2.6372,-16.901,-1.2862,-12.679,-13.49,-5.1223,-12.806
70,4.6792,-10.358,-13.926,-14.994,-14.072,-12.386,-14.435,-10.197,17.202,0.088697,-8.095,0.88265,-12.976,-13.726,-14.139,-16.015
71,-4.2004,8.5899,2.046,4.2356,4.3463,7.2569,0.88147,-1.296,2.6496,-0.33705,6.2169,0.47848,2.092,0.18387,-22.776,-4.8082
72,-4.4899,11.733,9.3984,6.2431,4.8311,11.325,8.1526,8.9524,3.7774,-6.4382,10.16,-4.2232,7.6227,5.6277,-7.4714,7.2965
73,2.8329,2.1693,4.6835,-1.6084,-5.6745,1.1884,3.1142,2.8594,8.4903,1.2723,4.1183,1.3529,1.5011,0.52944,3.6114,2.1183
74,4.966,-0.10517,2.8802,-0.81049,-4.5843,-1.7421,2.8769,0.68366,-0.8508,5.6908,-5.494,1.6688,-3.544,-4.5449,-4.9214,-4.4649
75,-0.78641,8.6495,9.3021,7.1803,7.9492,8.0071,6.7014,8.1088,-15.613,6.7857,6.9763,5.9441,9.1236,7.7488,8.8374,6.5978
76,2.9489,2.1193,7.2966,5.6243,5.8815,2.8296,1.3069,7.6274,-11.621,1.5274,8.3074,-1.2446,9.0966,8.5386,10.656,5.3214
77,0.62778,8.346,8.0639,12.157,9.9255,10.033,4.9761,5.6423,0.097394,5.8776,6.19,5.5338,5.6025,5.5295,16.561,-0.32715
78,0.12624,-2.1149,2.5559,2.1414,2.6589,-0.45426,3.7157,0.63049,10.052,-4.5861,8.565,-4.4817,6.9026,7.7116,9.761,4.4493
