NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
62,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
63,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
64,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
65,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
66,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
67,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
68,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
69,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
70,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
71,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
72,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
73,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
74,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
75,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
76,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
77,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
78,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
79,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
80,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
81,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
82,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
83,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
84,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
85,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
86,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
87,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
88,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
89,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
90,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
91,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
