NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
51,7.0203,-11.919,-10.334,-15.573,-15.274,-14.74,-14.473,-9.8164,-3.0068,2.38,-20.757,1.071,-24.691,-23.33,-10.282,-20.374
52,0.3632,-0.5729,-4.7475,-1.7995,-0.29068,-0.081353,-12.238,-5.9206,-13.867,4.2976,-1.2857,5.1246,-4.606,-5.2504,-18.879,-5.217
53,-6.9535,4.5933,3.446,7.4985,4.2622,6.3035,-2.0537,2.8108,-18.333,-5.7947,15.139,-7.6238,14.519,12.565,-14.663,9.2161
54,7.0263,-16.32,-7.6379,-10.183,-12.125,-14.875,-1.8928,0.49304,-6.5421,7.1207,-12.334,7.0232,-10.628,-11.128,-2.8108,-11.564
55,-0.37076,9.853,9.3812,12.934,11.609,19.474,9.4457,16.132,-7.8306,1.9454,24.017,5.9517,27.791,26.505,-5.9798,16.277
56,7.1526,-12.928,-5.9923,-13.07,-14.907,-9.8277,-5.2064,2.0997,0.23148,5.0423,-9.8848,9.3268,-7.1349,-6.1052,1.9426,-7.873
57,3.9633,-3.1991,-6.3264,-3.0422,-2.2792,-7.5089,-11.386,-9.0622,-4.9619,4.0698,-18.325,9.2333,-15.373,-15.165,-1.2637,-8.6689
58,0.32066,7.3223,7.8247,9.4539,8.8623,5.5489,0.90941,-2.5745,-7.2204,-5.1185,3.9832,-2.6799,10.251,9.5085,4.0565,14.835
59,-1.49,10.364,9.3771,9.604,9.9873,9.5489,5.4189,3.7032,2.9372,-2.7946,-0.026927,-2.5839,11.106,7.771,11.38,7.4255
60,7.1526,-12.928,-5.9923,-13.07,-14.907,-9.8277,-5.2064,2.0997,0.23148,5.0423,-9.8848,9.3268,-7.1349,-6.1052,1.9426,-7.873
61,3.9633,-3.1991,-6.3264,-3.0422,-2.2792,-7.5089,-11.386,-9.0622,-4.9619,4.0698,-18.325,9.2333,-15.373,-15.165,-1.2637,-8.6689
62,0.32066,7.3223,7.8247,9.4539,8.8623,5.5489,0.90941,-2.5745,-7.2204,-5.1185,3.9832,-2.6799,10.251,9.5085,4.0565,14.835
63,-1.49,10.364,9.3771,9.604,9.9873,9.5489,5.4189,3.7032,2.9372,-2.7946,-0.026927,-2.5839,11.106,7.771,11.38,7.4255
