NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
90,-11.627,8.9763,11.036,10.485,17.227,7.2556,8.5813,-1.167,-3.1104,-6.7902,-14.772,-7.8585,-10.834,19.757,-1.8462,8.8383
91,-15.901,26.87,26.568,27.78,31.536,27.437,27.378,16.977,-0.56975,-7.8374,2.0611,-5.174,11,37.099,3.3626,22.386
92,-16.665,21.822,21.802,21.621,27.033,25.053,27.27,16.443,0.14733,-21.459,13.754,-15.879,22.636,40.447,10.847,32.018
93,-4.2676,-2.4403,0.062258,-5.0633,1.9783,-0.31862,3.9079,-3.2453,5.8462,-18.623,-1.6604,-9.7902,8.9182,22.807,17.228,18.843
94,1.1066,-10.805,-7.8889,-11.775,-2.4204,-6.0804,-3.3708,-8.3936,2.6516,-17.502,-10.808,-9.5774,-2.1532,5.7083,1.0987,0.84126
95,10.179,-14.79,-15.581,-17.077,-11.514,-8.3254,-8.8804,-2.4366,5.9423,-1.7508,2.578,2.426,9.9592,-1.7327,2.4162,-0.12321
96,8.7981,-8.8558,-13.166,-13.519,-13.328,-4.5614,-9.1718,0.063559,9.2408,10.832,-0.098879,19.017,5.7169,-14.295,6.9051,-11.254
97,4.8782,-2.5796,-4.0081,-5.4809,-6.5957,3.4741,-2.7619,6.1546,4.7453,5.4339,9.2181,12.637,14.122,-8.8405,1.4288,-8.7359
98,4.4239,2.0911,1.4623,0.25665,-1.6386,6.7874,4.6542,6.9112,5.5252,6.8567,13.968,13.935,15.632,-3.7606,1.56,-2.8601
99,4.0886,0.97949,-0.90151,3.3551,-4.9293,2.0223,4.9389,-0.41701,4.9193,4.5481,5.8883,8.8578,3.2318,-6.0874,-4.256,-4.6913
100,6.5788,-11.887,-5.9518,-3.3763,-8.882,-10.204,-3.2534,-12.918,4.3612,6.0122,-4.8916,6.1118,-5.4689,-7.311,0.67583,-0.8756
101,4.8363,-8.1181,-3.5343,0.16684,-1.316,-9.8605,-1.038,-14.029,1.1486,6.4497,-19.522,1.8298,-19.097,-14.297,-8.7272,-15.684
102,-2.7859,11.281,10.707,19.572,13.832,7.9818,14.584,0.8893,-3.7052,3.8904,-4.2214,-0.8906,-6.5359,1.7241,-12.26,-4.5834
103,-6.1337,11.005,14.09,20.547,13.827,8.6762,13.299,2.4849,-7.4492,-4.5559,0.60579,-9.8839,-1.6901,8.1041,-8.9371,9.4833
104,-1.9601,-3.3991,4.2425,2.5295,-2.5415,-7.3689,3.4769,-5.5668,-8.8925,-3.1426,-10.678,-6.7104,-9.5902,-0.54081,0.28708,-0.49435
105,1.854,-5.6515,-5.3248,-5.8542,-4.1904,-4.759,-3.8035,1.1479,-9.0611,-1.1027,5.3612,-10.094,6.5965,5.6235,-4.3649,1.5921
106,0.94792,-0.89133,-5.3724,-3.6131,-2.769,-1.3185,-3.7002,4.3618,-7.0776,-3.6699,4.3568,-9.1826,8.7877,3.9273,-1.2438,-4.6263
107,1.4151,-4.6604,-7.679,-8.8613,-7.5223,-3.7558,-8.931,3.0712,-4.272,-5.8827,2.4847,-7.3754,8.9684,-0.2494,9.2132,-0.53028
108,5.1197,-19.155,-15.552,-21.051,-16.757,-15.593,-15.016,-1.5839,3.1336,-3.0819,2.8453,-0.10913,11.112,0.076433,14.008,4.321
109,3.6462,-10.164,-12.44,-13.785,-9.8319,-10.325,-10.659,2.4623,2.6203,2.321,-7.4522,4.8495,-0.1357,-11.333,6.7975,-4.9503
110,-4.6934,14.671,6.1405,7.7743,6.5753,11.618,5.7092,14.548,-0.59811,1.591,9.6964,4.1326,7.764,-0.25803,-1.6778,3.961
111,-8.4815,9.1517,4.9973,2.7692,-0.1194,9.4705,2.5573,10.688,-0.12343,-14.056,25.637,-8.7987,14.686,9.5214,-5.1512,13.843
112,-1.6841,-11.994,-14.308,-18.216,-15.896,-13.929,-21.472,-12.608,6.1975,-2.3401,-3.8231,6.6747,-19.155,-18.146,-0.71578,-13.226
113,-6.3063,-3.1124,-10.762,-9.8284,-7.8668,-8.7516,-15.116,-13.465,0.15814,0.72596,-17.64,7.3016,-33.804,-28.307,-11.338,-27.899
114,-8.547,8.5228,4.1007,5.5105,3.9514,6.7562,0.63939,-1.2594,-2.4195,-4.901,7.2599,0.93467,-7.7536,-2.1912,-10.056,0.26206
115,-4.6934,14.671,6.1405,7.7743,6.5753,11.618,5.7092,14.548,-0.59811,1.591,9.6964,4.1326,7.764,-0.25803,-1.6778,3.961
116,-8.4815,9.1517,4.9973,2.7692,-0.1194,9.4705,2.5573,10.688,-0.12343,-14.056,25.637,-8.7987,14.686,9.5214,-5.1512,13.843
117,-1.6841,-11.994,-14.308,-18.216,-15.896,-13.929,-21.472,-12.608,6.1975,-2.3401,-3.8231,6.6747,-19.155,-18.146,-0.71578,-13.226
118,-6.3063,-3.1124,-10.762,-9.8284,-7.8668,-8.7516,-15.116,-13.465,0.15814,0.72596,-17.64,7.3016,-33.804,-28.307,-11.338,-27.899
119,-8.547,8.5228,4.1007,5.5105,3.9514,6.7562,0.63939,-1.2594,-2.4195,-4.901,7.2599,0.93467,-7.7536,-2.1912,-10.056,0.26206
120,-2.6128,-11,-7.449,-10.502,-10.962,-12.318,-12.871,-15.74,0.15563,-5.0082,-4.6419,-2.517,-14.522,-7.8711,-5.9699,-1.3169
121,-4.0445,-6.0399,-8.1512,-4.2726,-7.0843,-11.674,-9.6459,-20.233,-0.5239,10.963,-26.501,13.126,-31.817,-25.909,-8.0483,-20.898
122,-9.5598,16.104,13.987,16.904,15.311,11.524,12.639,3.5455,-7.0624,-6.075,4.0884,-4.7384,-1.327,0.99404,-4.967,3.892
123,-3.7528,4.7011,8.067,5.3477,3.5743,2.833,3.8441,0.32937,2.3983,-4.4565,4.1869,-0.48907,2.816,1.8264,12.17,15.577
124,-2.5782,-6.1761,-3.0412,-1.1322,-5.1086,-7.7424,-5.694,-5.3174,2.6476,-0.78629,-8.1843,2.3923,-2.9368,-7.5364,6.8773,3.5486
125,0.04015,11.393,9.2518,16.41,10.826,6.3546,7.0233,11.941,-0.25672,3.6504,5.4219,3.1835,10.953,2.9917,1.0759,2.6184
126,5.0974,10.151,12.391,16.182,10.863,10.471,13.092,18.04,2.7712,2.8736,21.782,2.1728,26.994,19.069,10.233,12.2
127,10.317,5.6007,7.2383,9.2795,6.0649,6.4063,8.9523,15.497,5.8647,-2.7455,16.486,-4.2283,18.551,11.973,3.5702,4.4148
128,12.708,-0.89217,2.2171,1.5873,0.79001,1.4703,3.5349,7.1631,6.7972,2.1963,2.562,2.663,1.459,-1.0139,1.185,-3.7955
129,10.203,3.7031,7.099,5.5836,6.077,5.9639,8.3955,6.6112,4.4037,-4.5127,7.1653,-3.0474,4.7323,5.7504,-3.5923,-2.0708
130,5.9859,-14.83,-11.739,-13.694,-14.837,-17.209,-13.193,-15.304,-2.4144,-6.0826,-9.1319,-6.2963,-17.598,-9.2595,-10.035,-5.8233
131,0.81334,-17.177,-15.256,-17.802,-15.723,-16.886,-19.113,-21.336,-6.435,3.7621,-22.52,-1.028,-31.62,-25.01,-17.681,-18.266
132,-7.3818,11.632,7.5811,9.0011,11.381,12.303,6.8941,3.3028,-7.4048,5.7425,-5.4867,-1.6211,-11.623,-7.0552,-13.743,2.2477
133,-4.1047,1.8388,2.0487,-1.9418,2.2473,0.92154,2.548,-0.16195,-4.449,-3.6003,12.468,-10.678,11.001,14.863,2.1843,22.49
134,-4.3407,-10.405,-11.559,-12.423,-8.5947,-13.677,-13.283,-13.991,1.4805,4.4975,-11.041,-1.2113,-8.688,-6.7915,7.2567,-3.1919
135,-14.481,19.13,12.99,16.02,15.918,15.855,16.234,16.644,-0.16108,-5.1054,21.564,-6.4555,23.117,20.14,7.3917,16.077
136,-8.8415,11.549,10.01,13.475,11.222,9.5314,10.819,13.845,1.7452,-6.9921,14.483,-8.2944,15.24,12.221,14.362,12.824
137,-1.1892,0.29016,2.0124,2.6329,3.0486,0.70775,3.0811,4.3469,2.6651,2.0581,5.39,0.88634,8.7209,4.7243,14.445,7.7383
138,3.7012,-4.1627,-1.1623,-3.8274,-1.3806,-1.304,1.1047,0.096642,2.628,5.0244,2.4248,5.3749,6.4947,3.1045,9.2199,-1.1078
139,8.9594,-2.9808,-0.23843,-1.9812,-3.512,-3.3574,-0.25484,-1.9936,7.6722,18.5,-1.7345,20.712,1.3821,-0.59546,7.9918,-9.5775
140,-9.4717,10.783,5.7934,9.1668,6.9749,10.905,3.2633,3.0065,-3.2509,12.69,-7.9721,12.393,-10.014,-10.348,-15.997,-12.52
141,-9.8028,12.804,9.9478,11.855,9.9752,15.111,12.197,14.021,-6.1898,-10.265,15.521,-7.9153,13.623,10.333,-10.544,11.683
142,5.3401,-1.8213,1.9213,-1.1323,-4.4014,3.9005,-0.51242,2.6164,2.9555,-1.7858,6.1186,3.7962,4.2023,3.2111,6.6461,10.165
143,3.7323,1.9489,2.539,1.9235,-3.1071,6.1982,-1.7601,1.8748,1.6157,0.92095,-5.3085,7.2083,-6.1103,-5.8391,0.96227,-4.5085
144,-0.43207,1.0246,0.39481,2.4457,2.4171,4.0077,-2.9337,1.7296,-0.60885,1.688,-0.57944,9.6728,0.40777,-0.82053,1.3046,3.769
145,-2.7124,-2.452,-2.0982,-2.7188,-6.107,-3.6445,-4.0187,-4.513,0.17089,1.4174,-4.8748,1.1726,-5.9463,-8.5733,-12.019,-2.876
146,-0.71179,-10.01,-8.2214,-12.398,-11.006,-11.497,-13.034,-12.605,3.501,0.55234,-2.6345,-4.3524,-7.948,-8.4999,-13.272,-5.0048
147,-2.8608,-14.497,-14.731,-15.949,-12.389,-17.734,-20.54,-15.6,3.4793,6.5457,-14.513,1.7061,-18.838,-16.785,-7.5643,-14.914
148,-10.505,6.4839,-0.18705,3.73,5.8578,-0.25076,-1.4895,1.909,-4.8537,-1.3673,-6.8599,-8.9327,-5.6368,-6.1611,-11.947,-12.258
149,-7.5744,9.5804,10.952,7.5424,10.219,8.2169,10.843,13.692,-1.5839,-10.189,16.925,-15.849,20.922,19.243,1.442,8.9211
150,2.6535,-3.3155,-0.94853,-1.0885,-2.5901,-3.4178,0.93745,1.0865,-0.71019,-11.27,2.7466,-13.688,6.4031,5.0283,6.7,2.5827
151,15.455,-19.947,-16.425,-20.035,-20.834,-19.153,-15.659,-9.1492,-2.5726,-4.6489,-4.7789,-7.7656,-1.5494,-7.3756,3.4947,-7.539
152,19.171,-1.8695,-5.6869,-7.1436,-8.0966,-2.0502,-8.2084,0.96063,-0.033373,9.5666,-13.545,7.3201,-11.72,-19.15,-0.40049,-20.254
153,14.385,11.554,8.172,5.9939,7.6397,12.241,7.6254,14.964,-3.2356,-0.93329,17.967,0.34269,17.381,14.294,0.48032,9.349
154,13.905,-5.6036,-5.5482,-6.9338,-4.1678,-4.4621,-5.0169,1.3822,-1.6109,-5.9241,8.615,-1.6814,6.9114,5.2268,3.2342,9.9664
155,10.276,-2.9612,-6.2716,-2.835,-4.3553,-4.4018,-6.7733,-3.5439,3.1722,4.7358,-10.398,6.3893,-10.169,-9.8732,-0.090772,-7.1569
156,5.0988,-2.4704,-1.9393,-1.4265,-0.65398,-2.7842,-3.3625,-2.8904,1.3278,2.3102,0.36254,1.5431,0.21231,2.3053,-2.0639,2.8674
157,5.2938,-7.4877,-6.5921,-7.2367,-3.0488,-8.7584,-6.7728,-11.081,3.8594,6.0273,-6.3298,7.3023,-7.066,-3.8737,-1.5058,2.1483
158,-1.2889,2.1164,1.813,0.058043,1.0471,1.0299,3.5075,-5.4238,0.47403,0.12093,-5.7559,1.1789,-6.3817,-1.2566,-4.2718,1.6577
159,-2.8135,6.0557,8.3322,6.4712,5.9948,9.1739,9.1225,0.35354,1.6432,3.3442,0.21721,5.3279,-3.1592,2.7114,2.825,4.7545
160,-6.3321,7.7633,8.2466,9.085,8.8354,9.7786,8.1213,9.1845,-0.72915,2.4074,3.5773,7.7702,4.5187,7.5861,5.7626,1.2585
161,-5.961,-0.37132,5.9681,4.6474,3.8456,8.5289,7.7539,7.6108,-2.4702,-2.7273,6.2225,0.46236,10.843,11.752,3.2034,8.1513
162,-1.102,1.6343,3.1466,2.7163,3.3247,7.8926,3.9585,5.0591,0.59707,11.24,-2.4386,16.018,1.1322,-1.4152,3.6361,0.62846
163,0.76341,3.7295,1.0446,0.1623,-2.3337,7.2123,2.0397,5.0455,1.5579,5.9101,4.7066,12.764,7.7416,1.6632,0.63227,2.6729
164,-0.30641,6.2022,2.9073,4.9688,0.74277,8.6052,6,5.7138,5.1029,10.621,1.4801,19.321,7.1694,-1.9288,5.0048,-2.0834
