NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
58,-1.6421,2.5037,1.2402,-5.7007,-7.5132,1.8717,-0.064335,2.0107,-11.875,1.2459,2.0803,4.1678,-0.51248,-6.0006,-6.6773,0.14707
59,7.031,-4.9717,1.0169,-3.8079,1.8091,0.060516,-0.034165,2.5106,-0.1628,5.269,-4.8859,0.2115,-0.13983,-2.4827,-5.9563,-0.9806
60,1.237,4.7518,8.1672,7.5442,-15.289,8.9398,8.4718,6.8369,-1.2006,-3.9645,5.0289,5.6594,1.9571,2.7466,4.5746,4.4871
61,8.0049,5.7183,-0.087464,0.4089,-15.982,-0.069092,-1.4497,-3.9785,9.3185,-9.6348,1.2965,3.0143,-0.25621,-0.89703,-1.9957,1.4224
62,8.2001,-3.5892,-13.504,-18.668,-3.3712,-9.8813,-14.563,-15.319,4.3435,0.88204,-5.5562,-4.7118,-8.4212,-15.071,-15.592,-9.8727
63,-1.608,2.5293,1.2689,-5.6588,-7.4361,1.8835,-0.10245,1.9864,-11.924,1.2397,2.1313,4.2225,-0.48312,-6.0385,-6.6132,0.14707
64,7.0019,-4.9425,1.0412,-3.7793,1.818,0.099607,-0.032668,2.5285,-0.20099,5.2669,-4.8682,0.1831,-0.062896,-2.5159,-5.8835,-0.9806
65,1.244,4.6816,8.1398,7.567,-15.359,8.9931,8.5506,6.8599,-1.1688,-3.9255,4.9889,5.6747,2.0203,2.7114,4.5269,4.4871
66,8.0444,5.7707,-0.12114,0.38719,-16.006,-0.040953,-1.422,-3.9829,9.2493,-9.6206,1.2773,2.9733,-0.29895,-0.85382,-1.9901,1.4224
67,8.1603,-3.5683,-13.453,-18.665,-3.4079,-9.9466,-14.601,-15.383,4.3341,0.88424,-5.6323,-4.7897,-8.4563,-15.103,-15.603,-9.8727
68,-1.5995,2.5492,1.211,-5.6386,-7.4897,1.8531,-0.1131,1.9695,-11.866,1.1928,2.1359,4.1637,-0.54796,-5.966,-6.6926,0.14707
69,6.9645,-4.8942,1.0636,-3.7599,1.7608,0.093383,-0.03693,2.551,-0.19404,5.3032,-4.9082,0.20589,-0.12306,-2.4777,-5.9238,-0.9806
70,1.2391,4.7529,8.1679,7.5422,-15.291,8.962,8.557,6.8344,-1.202,-3.9843,5.0504,5.5922,1.975,2.7494,4.5564,4.4871
71,8.0477,5.7475,-0.076112,0.36369,-15.951,-0.083717,-1.3662,-3.9706,9.2477,-9.6356,1.2789,3.0148,-0.32623,-0.85911,-1.925,1.4224
72,8.1198,-3.6234,-13.435,-18.635,-3.3935,-9.9063,-14.562,-15.371,4.3341,0.82665,-5.5659,-4.7329,-8.4154,-15.092,-15.572,-9.8727
73,-1.6589,2.5031,1.2071,-5.655,-7.4595,1.8399,-0.089964,1.9826,-11.889,1.2194,2.147,4.2206,-0.53965,-5.9759,-6.6449,0.14707
74,7.0047,-4.9581,1.0174,-3.8398,1.8045,0.05981,-0.02372,2.5807,-0.15441,5.2609,-4.8912,0.2202,-0.13942,-2.4839,-5.9206,-0.9806
75,1.1685,4.6957,8.1845,7.558,-15.294,8.9775,8.5202,6.8027,-1.166,-3.9258,5.0198,5.601,2.0421,2.7517,4.543,4.4871
76,8.0167,5.763,-0.068734,0.38743,-16.029,-0.019272,-1.4171,-4.0362,9.2544,-9.633,1.2306,2.9996,-0.23798,-0.8488,-1.9946,1.4224
77,8.1538,-3.5673,-13.488,-18.618,-3.4059,-9.9259,-14.583,-15.38,4.3991,0.90036,-5.6246,-4.7491,-8.4292,-15.061,-15.595,-9.8727
78,-1.5958,2.5598,1.2102,-5.7106,-7.4368,1.8992,-0.11259,1.9771,-11.941,1.2288,2.1376,4.1943,-0.52165,-5.9503,-6.6663,0.14707
79,7.0482,-4.9602,1.0279,-3.7727,1.7955,0.13032,0.036364,2.5529,-0.19588,5.3456,-4.9289,0.21962,-0.058632,-2.5052,-5.9229,-0.9806
80,1.2392,4.7623,8.201,7.5395,-15.369,9.021,8.5097,6.8034,-1.1612,-3.9277,5.0457,5.6354,2.0419,2.712,4.5741,4.4871
81,8.0549,5.7682,-0.068443,0.34924,-16.022,-0.062118,-1.4218,-4.0156,9.2865,-9.6112,1.3052,2.9829,-0.23445,-0.88618,-1.9305,1.4224
82,8.1581,-3.561,-13.442,-18.657,-3.3968,-9.9315,-14.532,-15.403,4.3836,0.9113,-5.6496,-4.7882,-8.4212,-15.052,-15.612,-9.8727
